steps,episode,total_return,episode_len,episode_return,total_regret
1,1,0.4,1,0.4,0.6
2,2,1.4,1,1.0,0.6
3,3,1.7999999999999998,1,0.4,1.2
4,4,2.8,1,1.0,1.2
5,5,3.0,1,0.2,2.0
6,6,3.7,1,0.7000000000000001,2.3
7,7,4.0,1,0.30000000000000004,3.0
8,8,4.0,1,0.0,4.0
9,9,4.9,1,0.9,4.1
10,10,5.800000000000001,1,0.9,4.199999999999999
12,12,6.700000000000001,1,0.6000000000000001,5.299999999999999
14,14,7.000000000000001,1,0.1,6.999999999999999
17,17,9.200000000000001,1,0.6000000000000001,7.799999999999999
20,20,10.600000000000001,1,0.1,9.399999999999999
25,25,12.600000000000001,1,0.30000000000000004,12.399999999999999
30,30,15.900000000000002,1,0.5,14.099999999999998
40,40,20.700000000000003,1,0.2,19.299999999999997
50,50,26.1,1,0.6000000000000001,23.9
60,60,32.800000000000004,1,0.6000000000000001,27.2
70,70,35.40000000000001,1,0.0,34.599999999999994
80,80,43.00000000000001,1,0.0,37.0
90,90,48.40000000000001,1,1.0,41.599999999999994
100,100,54.90000000000001,1,1.0,45.099999999999994
120,120,64.20000000000002,1,0.2,55.79999999999999
140,140,75.4,1,0.8,64.60000000000001
170,170,89.59999999999998,1,0.0,80.40000000000003
200,200,106.29999999999998,1,0.9,93.70000000000003
250,250,130.69999999999993,1,1.0,119.30000000000004
300,300,160.4,1,0.5,139.6
400,400,216.3000000000002,1,0.1,183.6999999999998
500,500,265.40000000000026,1,0.9,234.59999999999988
600,600,310.4000000000004,1,0.0,289.5999999999999
700,700,366.6000000000006,1,0.7000000000000001,333.3999999999997
800,800,417.50000000000057,1,0.9,382.4999999999997
900,900,460.90000000000094,1,0.7000000000000001,439.09999999999934
1000,1000,517.000000000001,1,0.1,482.9999999999993
1200,1200,671.6999999999925,1,0.8,528.3000000000017
1400,1400,862.6999999999913,1,1.0,537.3000000000029
1700,1700,1155.4999999999914,1,1.0,544.5000000000028
2000,2000,1448.4999999999916,1,1.0,551.5000000000028
2500,2500,1937.5999999999913,1,1.0,562.400000000003
3000,3000,2422.999999999992,1,1.0,577.000000000003
4000,4000,3397.899999999991,1,1.0,602.1000000000028
5000,5000,4376.699999999991,1,1.0,623.3000000000026
6000,6000,5351.699999999994,1,1.0,648.3000000000021
7000,7000,6326.799999999997,1,1.0,673.2000000000016
8000,8000,7303.899999999999,1,1.0,696.1000000000018
9000,9000,8279.099999999997,1,1.0,720.9000000000019
10000,10000,9254.699999999995,1,1.0,745.300000000002
