steps,episode,total_return,episode_len,episode_return,total_regret
1,1,30.0,1,30.0,0.0
2,2,36.0,1,6.0,0.8
3,3,48.0,1,12.0,1.4
4,4,60.0,1,12.0,2.0
5,5,90.0,1,30.0,2.0
6,6,105.0,1,15.0,2.5
7,7,129.0,1,24.0,2.7
8,8,159.0,1,30.0,2.7
9,9,162.0,1,3.0,3.6
10,10,186.0,1,24.0,3.8
12,12,222.0,1,24.0,4.6
14,14,267.0,1,15.0,5.1
17,17,288.0,1,3.0,7.3999999999999995
20,20,330.0,1,12.0,8.999999999999998
25,25,381.0,1,6.0,12.299999999999997
30,30,441.0,1,15.0,15.299999999999997
40,40,570.0,1,21.000000000000004,20.999999999999996
50,50,753.0,1,6.0,24.899999999999995
60,60,915.0,1,3.0,29.499999999999993
70,70,978.0,1,12.0,37.39999999999999
80,80,1131.0,1,6.0,42.3
90,90,1272.0,1,21.000000000000004,47.599999999999994
100,100,1446.0,1,9.000000000000002,51.8
120,120,1893.0,1,12.0,56.89999999999999
140,140,2184.0,1,0.0,67.19999999999997
170,170,2592.0,1,0.0,83.6
200,200,3054.0,1,24.0,98.19999999999997
250,250,3726.0,1,6.0,125.79999999999997
300,300,4515.0,1,27.0,149.49999999999994
400,400,6081.0,1,18.000000000000004,197.29999999999995
500,500,7530.0,1,9.000000000000002,249.0
600,600,9003.0,1,18.000000000000004,299.9
700,700,10446.0,1,15.0,351.79999999999984
800,800,11985.0,1,9.000000000000002,400.4999999999998
900,900,13500.0,1,21.000000000000004,449.9999999999996
1000,1000,15051.0,1,30.0,498.29999999999944
1200,1200,16377.0,1,6.0,654.0999999999917
1400,1400,17646.0,1,6.0,811.7999999999829
1700,1700,23526.0,1,30.0,915.7999999999829
2000,2000,32370.0,1,30.0,920.9999999999828
2500,2500,46944.0,1,30.0,935.1999999999828
3000,3000,61527.0,1,30.0,949.099999999983
4000,4000,90504.0,1,30.0,983.1999999999832
5000,5000,119868.0,1,30.0,1004.3999999999834
6000,6000,149079.0,1,30.0,1030.6999999999837
7000,7000,178227.0,1,30.0,1059.0999999999838
8000,8000,207711.0,1,30.0,1076.2999999999834
9000,9000,237132.0,1,30.0,1095.5999999999833
10000,10000,266355.0,1,30.0,1121.499999999983
