steps,episode,total_return,episode_len,episode_return,total_bad_episodes,denoised_return
50,1,-0.003600000000000001,50,-0.003600000000000001,1,0
100,2,-0.008999999999999998,50,-0.0053999999999999986,2,0
150,3,-0.014600000000000012,50,-0.005599999999999998,3,0
200,4,-0.020599999999999986,50,-0.0059999999999999975,4,0
250,5,-0.024599999999999962,50,-0.004000000000000001,5,0
300,6,-0.030399999999999927,50,-0.005799999999999998,6,0
350,7,-0.035599999999999896,50,-0.005199999999999999,7,0
400,8,-0.03999999999999987,50,-0.0044,8,0
450,9,-0.04459999999999984,50,-0.0046,9,0
500,10,-0.04999999999999981,50,-0.0053999999999999986,10,0
600,12,-0.06019999999999975,50,-0.005199999999999999,12,0
700,14,-0.07099999999999998,50,-0.006199999999999997,14,0
850,17,-0.08500000000000038,50,-0.004999999999999999,17,0
1000,20,-0.09780000000000075,50,-0.004200000000000001,20,0
1250,25,-0.12320000000000147,50,-0.003400000000000001,25,0
1500,30,-0.14620000000000213,50,-0.0048,30,0
2000,40,-0.19340000000000349,50,-0.003600000000000001,40,0
2500,50,-0.2424000000000049,50,-0.0059999999999999975,50,0
3000,60,-0.29140000000000055,50,-0.004000000000000001,60,0
3500,70,-0.3397999999999952,50,-0.004000000000000001,70,0
4000,80,-0.38579999999999015,50,-0.0046,80,0
4500,90,-0.4353999999999847,50,-0.0048,90,0
5000,100,-0.4877999999999789,50,-0.004200000000000001,100,0
6000,120,-0.5883999999999678,50,-0.0046,120,0
7000,140,-0.6907999999999566,50,-0.0048,140,0
8500,170,-0.8369999999999405,50,-0.0048,170,0
10000,200,-0.9873999999999239,50,-0.0053999999999999986,200,0
12500,250,-1.2363999999998965,50,-0.004000000000000001,250,0
15000,300,-1.4797999999998697,50,-0.005799999999999998,300,0
20000,400,-1.9625999999998165,50,-0.0048,400,0
25000,500,-2.449399999999763,50,-0.004000000000000001,500,0
30000,600,-2.9431999999997087,50,-0.0053999999999999986,600,0
35000,700,-3.441599999999654,50,-0.0046,700,0
40000,800,-3.937399999999599,50,-0.0048,800,0
45000,900,-4.441800000000525,50,-0.005799999999999998,900,0
50000,1000,-4.955200000001608,50,-0.0048,1000,0
60000,1200,-5.988800000003789,50,-0.0048,1200,0
70000,1400,-7.029200000005985,50,-0.0044,1400,0
85000,1700,-8.570000000006704,50,-0.0048,1700,0
100000,2000,-10.113400000003107,50,-0.005199999999999999,2000,0
125000,2500,-12.767599999996921,50,-0.0053999999999999986,2500,0
150000,3000,-15.427399999990723,50,-0.0053999999999999986,3000,0
200000,4000,-20.81299999997817,50,-0.0053999999999999986,4000,0
250000,5000,-26.13759999996576,50,-0.0053999999999999986,5000,0
300000,6000,-31.457599999953363,50,-0.0053999999999999986,6000,0
350000,7000,-37.135399999940134,50,-0.006399999999999997,7000,0
400000,8000,-43.03399999992639,50,-0.006399999999999997,8000,0
450000,9000,-48.543799999913546,50,-0.005199999999999999,9000,0
500000,10000,-54.00799999990081,50,-0.006199999999999997,10000,0
