steps,episode,total_return,episode_len,episode_return,total_bad_episodes,denoised_return
20,1,-0.0045000000000000005,20,-0.0045000000000000005,1,0
40,2,-0.009000000000000005,20,-0.0045000000000000005,2,0
60,3,-0.017070995209526246,20,-0.008070995209526238,3,0
80,4,-0.02357099520952625,20,-0.006500000000000002,4,0
100,5,-0.027570995209526255,20,-0.004,5,0
120,6,-0.032070995209526255,20,-0.0045000000000000005,6,0
140,7,-0.03707099520952626,20,-0.005000000000000001,7,0
160,8,-0.041570995209526264,20,-0.0045000000000000005,8,0
180,9,-0.04907099520952627,20,-0.007500000000000003,9,0
200,10,-0.055570995209526276,20,-0.006500000000000002,10,0
240,12,-0.06607099520952628,20,-0.006000000000000002,12,0
280,14,-0.07807099520952629,20,-0.006000000000000002,14,0
340,17,-1.7724782859104995,20,-0.006000000000000002,17,0
400,20,0.33629560316203144,20,2.1212738890725293,20,0
500,25,0.2550911136994765,20,-0.0045000000000000005,25,0
600,30,0.2275911136994765,20,-0.003,30,0
800,40,0.9282526702408811,20,-0.005000000000000001,40,0
1000,50,2.0283211214894648,20,-0.007000000000000003,50,0
1200,60,1.1303474472698645,20,-0.005000000000000001,60,0
1400,70,1.821678372098048,20,-0.004,69,0
1600,80,-0.16899743081877167,20,-0.006000000000000002,79,0
1800,90,-0.3623035664825163,20,-0.005000000000000001,89,0
2000,100,1.2368882769382736,20,-0.005000000000000001,98,0
2400,120,2.3826195198677023,20,-0.006000000000000002,116,0
2800,140,2.4075226453013245,20,0.5155212666306477,135,0
3400,170,1.8171804251894392,20,-0.005000000000000001,165,0
4000,200,0.7614363607988746,20,-1.366802619074281,194,0
5000,250,-1.4439889129956647,20,1.331214878986431,239,0
6000,300,-6.519371896547681,20,-0.0045000000000000005,284,0
8000,400,-5.57274426106826,20,-0.0045000000000000005,381,0
10000,500,-3.2731456054392556,20,-0.006000000000000002,474,0
12000,600,1.32678695242123,20,2.457219204820407,566,0
14000,700,-7.000362250273541,20,-0.0045000000000000005,656,0
16000,800,-12.296332648918217,20,-0.005000000000000001,745,0
18000,900,-16.32562267411242,20,-0.005000000000000001,835,0
20000,1000,-20.680583058208057,20,-0.006500000000000002,923,0
24000,1200,-21.86573780217091,20,-0.007000000000000003,1112,0
28000,1400,-23.240861875651447,20,-0.0045000000000000005,1279,0
34000,1700,-25.03026917733497,20,-0.005500000000000001,1562,0
40000,2000,-25.073735005019632,20,-0.005000000000000001,1850,0
50000,2500,-29.093000512518852,20,-0.0035,2321,0
60000,3000,-31.794000512512557,20,-0.004,2805,0
80000,4000,-36.95100051253572,20,-0.0045000000000000005,3803,0
100000,5000,-41.31750051255657,20,-0.004,4803,0
120000,6000,-40.34769742780448,20,-0.005000000000000001,5779,0
140000,7000,-44.73287571003121,20,-0.005500000000000001,6729,0
160000,8000,-57.63798645258364,20,-0.005500000000000001,7645,0
180000,9000,-67.04396102598338,20,-0.007000000000000003,8556,0
200000,10000,-69.49265156713983,20,-0.0035,9515,0
