steps,episode,total_return,episode_len,episode_return
100,1,1.0,100,1.0
200,2,2.1,100,1.1
300,3,3.1,100,1.0
400,4,4.1,100,1.0
500,5,5.1,100,1.0
600,6,6.1,100,1.0
700,7,7.1,100,1.0
800,8,8.1,100,1.0
900,9,9.1,100,1.0
1000,10,10.1,100,1.0
1200,12,12.1,100,1.0
1400,14,14.2,100,1.1
1700,17,17.4,100,1.1
2000,20,20.4,100,1.0
2500,25,25.6,100,1.1
3000,30,30.700000000000003,100,1.0
4000,40,41.20000000000001,100,1.1
5000,50,51.90000000000002,100,1.0
6000,60,62.300000000000026,100,1.0
7000,70,73.0,100,1.1
8000,80,83.69999999999996,100,1.1
9000,90,94.29999999999993,100,1.0
10000,100,105.29999999999987,100,1.1
12000,120,127.29999999999976,100,1.1
14000,140,149.29999999999964,100,1.1
17000,170,182.29999999999947,100,1.1
20000,200,215.1999999999993,100,1.1
25000,250,270.19999999999936,100,1.1
30000,300,325.00000000000045,100,1.1
40000,400,434.0000000000025,100,1.1
50000,500,543.8000000000047,100,1.1
60000,600,653.3000000000069,100,1.1
70000,700,762.800000000009,100,1.1
80000,800,872.5000000000113,100,1.1
90000,900,982.3000000000135,100,1.1
100000,1000,1092.0000000000089,100,1.1
