steps,episode,total_return,episode_len,episode_return,total_perfect,total_regret
3,1,1.0,3,1.0,1,0.0
6,2,2.0,3,1.0,2,0.0
9,3,1.0,3,-1.0,2,2.0
12,4,2.0,3,1.0,3,2.0
15,5,3.0,3,1.0,4,2.0
18,6,4.0,3,1.0,5,2.0
21,7,3.0,3,-1.0,5,4.0
24,8,2.0,3,-1.0,5,6.0
27,9,3.0,3,1.0,6,6.0
30,10,4.0,3,1.0,7,6.0
36,12,4.0,3,-1.0,8,8.0
42,14,2.0,3,-1.0,8,12.0
51,17,3.0,3,1.0,10,14.0
60,20,2.0,3,-1.0,11,18.0
75,25,1.0,3,1.0,13,24.0
90,30,2.0,3,1.0,16,28.0
120,40,4.0,3,-1.0,22,36.0
150,50,4.0,3,1.0,27,46.0
180,60,2.0,3,-1.0,31,58.0
210,70,2.0,3,-1.0,36,68.0
240,80,0.0,3,-1.0,40,80.0
270,90,2.0,3,1.0,46,88.0
300,100,6.0,3,-1.0,53,94.0
360,120,8.0,3,1.0,64,112.0
420,140,12.0,3,-1.0,76,128.0
510,170,10.0,3,-1.0,90,160.0
600,200,10.0,3,1.0,105,190.0
750,250,16.0,3,1.0,133,234.0
900,300,8.0,3,-1.0,154,292.0
1200,400,10.0,3,-1.0,205,390.0
1500,500,2.0,3,1.0,251,498.0
1800,600,-8.0,3,1.0,296,608.0
2100,700,-30.0,3,1.0,335,730.0
2400,800,-26.0,3,1.0,387,826.0
2700,900,-26.0,3,1.0,437,926.0
3000,1000,-30.0,3,-1.0,485,1030.0
3600,1200,-42.0,3,-1.0,579,1242.0
4200,1400,-40.0,3,1.0,680,1440.0
5100,1700,-62.0,3,1.0,819,1762.0
6000,2000,-82.0,3,-1.0,959,2082.0
7500,2500,-58.0,3,1.0,1221,2558.0
9000,3000,-52.0,3,1.0,1474,3052.0
12000,4000,-48.0,3,-1.0,1976,4048.0
15000,5000,-68.0,3,-1.0,2466,5068.0
18000,6000,-82.0,3,-1.0,2959,6082.0
21000,7000,-82.0,3,1.0,3459,7082.0
24000,8000,-26.0,3,1.0,3987,8026.0
27000,9000,-6.0,3,1.0,4497,9006.0
30000,10000,42.0,3,-1.0,5021,9958.0
