steps,episode,total_return,episode_len,episode_return,total_regret
1,1,1.0,1,1.0,0.0
2,2,0.0,1,-1.0,2.0
3,3,-1.0,1,-1.0,4.0
4,4,-2.0,1,-1.0,6.0
5,5,-3.0,1,-1.0,8.0
6,6,-4.0,1,-1.0,10.0
7,7,-5.0,1,-1.0,12.0
8,8,-6.0,1,-1.0,14.0
9,9,-7.0,1,-1.0,16.0
10,10,-6.0,1,1.0,16.0
12,12,-8.0,1,-1.0,20.0
14,14,-10.0,1,-1.0,24.0
17,17,-11.0,1,1.0,28.0
20,20,-14.0,1,-1.0,34.0
25,25,-17.0,1,-1.0,42.0
30,30,-20.0,1,-1.0,50.0
40,40,-28.0,1,-1.0,68.0
50,50,-36.0,1,-1.0,86.0
60,60,-46.0,1,-1.0,106.0
70,70,-54.0,1,-1.0,124.0
80,80,-62.0,1,-1.0,142.0
90,90,-70.0,1,-1.0,160.0
100,100,-72.0,1,-1.0,172.0
120,120,-82.0,1,-1.0,202.0
140,140,-100.0,1,-1.0,240.0
170,170,-130.0,1,-1.0,300.0
200,200,-156.0,1,-1.0,356.0
250,250,-198.0,1,-1.0,448.0
300,300,-236.0,1,-1.0,536.0
400,400,-314.0,1,-1.0,714.0
500,500,-394.0,1,-1.0,894.0
600,600,-478.0,1,-1.0,1078.0
700,700,-552.0,1,-1.0,1252.0
800,800,-626.0,1,-1.0,1426.0
900,900,-718.0,1,-1.0,1618.0
1000,1000,-790.0,1,-1.0,1790.0
1200,1200,-934.0,1,-1.0,2134.0
1400,1400,-1084.0,1,-1.0,2484.0
1700,1700,-1310.0,1,-1.0,3010.0
2000,2000,-1536.0,1,-1.0,3536.0
2500,2500,-1932.0,1,-1.0,4432.0
3000,3000,-2330.0,1,-1.0,5330.0
4000,4000,-3128.0,1,-1.0,7128.0
5000,5000,-3890.0,1,-1.0,8890.0
6000,6000,-4558.0,1,1.0,10558.0
7000,7000,-5244.0,1,1.0,12244.0
8000,8000,-5930.0,1,-1.0,13930.0
9000,9000,-6594.0,1,1.0,15594.0
10000,10000,-7234.0,1,-1.0,17234.0
