steps,episode,total_return,episode_len,episode_return,total_regret
1,1,-1.0651975072868831,1,-1.0651975072868831,2.0
2,2,-1.9241505741602238,1,-0.8589530668733407,4.0
3,3,-2.813404151118702,1,-0.8892535769584778,6.0
4,4,-3.3223156713167423,1,-0.5089115201980403,6.0
5,5,-3.9873181558408994,1,-0.6650024845241571,8.0
6,6,-2.901067761390353,1,1.0862503944505464,8.0
7,7,-5.090226665706485,1,-2.1891589043161317,10.0
8,8,-5.226581427242398,1,-0.1363547615359133,12.0
9,9,-7.8325391513956735,1,-2.605957724153275,14.0
10,10,-9.875020383064237,1,-2.0424812316685643,16.0
12,12,-11.788452644405911,1,-1.7039990488433987,20.0
14,14,-12.592955005779746,1,0.4397871308194172,24.0
17,17,-15.467453136721597,1,-0.8574973518561404,30.0
20,20,-18.225526996228627,1,0.10199053661354096,36.0
25,25,-19.075887539216204,1,-0.00802997625924562,42.0
30,30,-23.65015495057809,1,-0.9566863506871177,52.0
40,40,-30.65460522925972,1,0.16449243264134217,66.0
50,50,-35.793233897322125,1,0.8869349480222869,82.0
60,60,-41.34984511758208,1,0.10141550695021495,98.0
70,70,-52.50004479946123,1,-1.5078315985641297,116.0
80,80,-66.24897322710173,1,1.223845717320653,134.0
90,90,-74.94893672589971,1,-1.0991257703028543,154.0
100,100,-89.52335853078415,1,-2.222235853765482,174.0
120,120,-108.86605752383922,1,0.04387164145367928,210.0
140,140,-123.42838431097871,1,1.8139836585509994,242.0
170,170,-153.1152104802902,1,-2.4946080956365533,300.0
200,200,-167.9880878697877,1,-1.7569211275910404,348.0
250,250,-218.5928748703095,1,0.8165996784599373,440.0
300,300,-262.75383703114784,1,-0.7389371277725696,524.0
400,400,-330.1895662202735,1,-1.918286179908879,700.0
500,500,-415.7157139646178,1,-0.8448588129423462,888.0
600,600,-496.2157257126879,1,-0.7975441730830606,1070.0
700,700,-583.1621001251129,1,-1.366192368220731,1250.0
800,800,-657.7864284926133,1,-0.6626212719484654,1430.0
900,900,-741.5867918980731,1,-1.2622782273924997,1608.0
1000,1000,-811.0830262253687,1,-1.5985727656688167,1796.0
1200,1200,-966.9350412811618,1,0.59060202430151,2142.0
1400,1400,-1122.6126623398184,1,-1.7107931586838436,2494.0
1700,1700,-1349.9840197833175,1,-2.220570407178516,3024.0
2000,2000,-1615.590511182292,1,0.4893239002183094,3552.0
2500,2500,-1996.9627324621104,1,-2.17822187448102,4448.0
3000,3000,-2380.3441359392837,1,-1.0104480969169185,5332.0
4000,4000,-3203.527730475993,1,-1.0581410652460155,7104.0
5000,5000,-3981.101329019862,1,-0.47832639424349954,8870.0
6000,6000,-4663.093329808479,1,-1.4376000520107375,10572.0
7000,7000,-5403.912131198383,1,-2.4035021158807925,12298.0
8000,8000,-6116.85461770025,1,-1.304149179984438,14030.0
9000,9000,-6746.438805064621,1,-1.703902263805606,15726.0
10000,10000,-7417.800344451224,1,-1.2161409762474198,17390.0
