steps,episode,total_return,episode_len,episode_return,total_regret
1,1,-1000.0,1,-1000.0,2.0
2,2,-2000.0,1,-1000.0,4.0
3,3,-3000.0,1,-1000.0,6.0
4,4,-4000.0,1,-1000.0,8.0
5,5,-5000.0,1,-1000.0,10.0
6,6,-6000.0,1,-1000.0,12.0
7,7,-7000.0,1,-1000.0,14.0
8,8,-8000.0,1,-1000.0,16.0
9,9,-9000.0,1,-1000.0,18.0
10,10,-10000.0,1,-1000.0,20.0
12,12,-12000.0,1,-1000.0,24.0
14,14,-14000.0,1,-1000.0,28.0
17,17,-17000.0,1,-1000.0,34.0
20,20,-20000.0,1,-1000.0,40.0
25,25,-25000.0,1,-1000.0,50.0
30,30,-28000.0,1,-1000.0,58.0
40,40,-32000.0,1,-1000.0,72.0
50,50,-38000.0,1,1000.0,88.0
60,60,-46000.0,1,-1000.0,106.0
70,70,-54000.0,1,-1000.0,124.0
80,80,-62000.0,1,-1000.0,142.0
90,90,-72000.0,1,-1000.0,162.0
100,100,-82000.0,1,-1000.0,182.0
120,120,-102000.0,1,-1000.0,222.0
140,140,-116000.0,1,1000.0,256.0
170,170,-140000.0,1,-1000.0,310.0
200,200,-166000.0,1,-1000.0,366.0
250,250,-206000.0,1,-1000.0,456.0
300,300,-246000.0,1,-1000.0,546.0
400,400,-328000.0,1,-1000.0,728.0
500,500,-418000.0,1,-1000.0,918.0
600,600,-494000.0,1,-1000.0,1094.0
700,700,-580000.0,1,-1000.0,1280.0
800,800,-670000.0,1,-1000.0,1470.0
900,900,-766000.0,1,-1000.0,1666.0
1000,1000,-846000.0,1,-1000.0,1846.0
1200,1200,-1020000.0,1,1000.0,2220.0
1400,1400,-1180000.0,1,-1000.0,2580.0
1700,1700,-1422000.0,1,-1000.0,3122.0
2000,2000,-1662000.0,1,-1000.0,3662.0
2500,2500,-2066000.0,1,-1000.0,4566.0
3000,3000,-2470000.0,1,-1000.0,5470.0
4000,4000,-3266000.0,1,-1000.0,7266.0
5000,5000,-4060000.0,1,-1000.0,9060.0
6000,6000,-4812000.0,1,-1000.0,10812.0
7000,7000,-5626000.0,1,-1000.0,12626.0
8000,8000,-6404000.0,1,-1000.0,14404.0
9000,9000,-7222000.0,1,1000.0,16222.0
10000,10000,-8008000.0,1,-1000.0,18008.0
