steps,episode,total_return,episode_len,episode_return,total_regret
20,1,-4.0,20,-4.0,2.0
40,2,-4.0,20,0.0,2.0
60,3,0.0,20,4.0,4.0
80,4,4.0,20,4.0,4.0
100,5,4.0,20,0.0,4.0
120,6,4.0,20,0.0,4.0
140,7,2.0,20,-2.0,6.0
160,8,-2.0,20,-4.0,8.0
180,9,2.0,20,4.0,10.0
200,10,-4.0,20,-6.0,10.0
240,12,2.0,20,2.0,12.0
280,14,6.0,20,4.0,14.0
340,17,-2.0,20,-4.0,20.0
400,20,-2.0,20,0.0,22.0
500,25,-8.0,20,-4.0,28.0
600,30,-10.0,20,2.0,30.0
800,40,10.0,20,8.0,42.0
1000,50,10.0,20,4.0,54.0
1200,60,14.0,20,4.0,64.0
1400,70,32.0,20,6.0,72.0
1600,80,20.0,20,0.0,82.0
1800,90,16.0,20,0.0,90.0
2000,100,8.0,20,2.0,98.0
2400,120,-26.0,20,-2.0,122.0
2800,140,-2.0,20,2.0,136.0
3400,170,-14.0,20,4.0,162.0
4000,200,-14.0,20,2.0,186.0
5000,250,-32.0,20,6.0,248.0
6000,300,-82.0,20,0.0,294.0
8000,400,-158.0,20,0.0,396.0
10000,500,-132.0,20,4.0,514.0
12000,600,-68.0,20,-4.0,626.0
14000,700,-64.0,20,4.0,736.0
16000,800,-68.0,20,-8.0,830.0
18000,900,-220.0,20,2.0,932.0
20000,1000,-210.0,20,-4.0,1042.0
24000,1200,-138.0,20,4.0,1282.0
28000,1400,-190.0,20,2.0,1518.0
34000,1700,-194.0,20,4.0,1846.0
40000,2000,-238.0,20,0.0,2134.0
50000,2500,-172.0,20,2.0,2676.0
60000,3000,-130.0,20,-2.0,3236.0
80000,4000,22.0,20,10.0,4248.0
100000,5000,296.0,20,-10.0,5134.0
120000,6000,298.0,20,-2.0,6232.0
140000,7000,42.0,20,0.0,7444.0
160000,8000,140.0,20,-4.0,8246.0
180000,9000,662.0,20,0.0,8776.0
200000,10000,1120.0,20,0.0,9288.0
