steps,episode,total_return,episode_len,episode_return,total_regret
6,1,-2.0,6,-2.0,2.0
12,2,-6.0,6,-4.0,4.0
18,3,-8.0,6,-2.0,6.0
24,4,-10.0,6,-2.0,6.0
30,5,-6.0,6,4.0,8.0
36,6,-4.0,6,2.0,8.0
42,7,-6.0,6,-2.0,10.0
48,8,-6.0,6,0.0,12.0
54,9,-8.0,6,-2.0,14.0
60,10,-8.0,6,0.0,14.0
72,12,-6.0,6,0.0,14.0
84,14,-4.0,6,0.0,16.0
102,17,-8.0,6,-2.0,22.0
120,20,-4.0,6,0.0,24.0
150,25,-12.0,6,-2.0,32.0
180,30,-12.0,6,-2.0,36.0
240,40,-6.0,6,0.0,46.0
300,50,-12.0,6,-4.0,58.0
360,60,-20.0,6,2.0,64.0
420,70,-26.0,6,0.0,68.0
480,80,-32.0,6,0.0,80.0
540,90,-32.0,6,0.0,90.0
600,100,-40.0,6,2.0,104.0
720,120,-50.0,6,2.0,124.0
840,140,-46.0,6,-2.0,144.0
1020,170,-54.0,6,-2.0,178.0
1200,200,-58.0,6,-4.0,214.0
1500,250,-56.0,6,-2.0,266.0
1800,300,-54.0,6,0.0,314.0
2400,400,-64.0,6,2.0,424.0
3000,500,-70.0,6,0.0,520.0
3600,600,-46.0,6,6.0,606.0
4200,700,-8.0,6,0.0,704.0
4800,800,32.0,6,4.0,788.0
5400,900,74.0,6,4.0,858.0
6000,1000,94.0,6,0.0,944.0
7200,1200,166.0,6,-2.0,1080.0
8400,1400,184.0,6,2.0,1232.0
10200,1700,274.0,6,0.0,1464.0
12000,2000,394.0,6,0.0,1676.0
15000,2500,404.0,6,2.0,2092.0
18000,3000,486.0,6,2.0,2470.0
24000,4000,900.0,6,-6.0,3100.0
30000,5000,1432.0,6,2.0,3628.0
36000,6000,2022.0,6,0.0,3962.0
42000,7000,2768.0,6,4.0,4254.0
48000,8000,3630.0,6,0.0,4472.0
54000,9000,4328.0,6,2.0,4672.0
60000,10000,5202.0,6,0.0,4806.0
