steps,episode,total_return,episode_len,episode_return,total_regret
1,1,0.0,1,0.0,1.0
2,2,0.0,1,0.0,2.0
3,3,0.0,1,0.0,3.0
4,4,1.0,1,1.0,3.0
5,5,1.4,1,0.4,3.6
6,6,2.1,1,0.7000000000000001,3.9
7,7,2.3000000000000003,1,0.2,4.7
8,8,3.3000000000000003,1,1.0,4.7
9,9,4.2,1,0.9,4.8
10,10,4.4,1,0.2,5.6
12,12,5.9,1,0.8,6.1
14,14,6.500000000000001,1,0.4,7.499999999999999
17,17,8.4,1,0.1,8.599999999999998
20,20,9.4,1,0.0,10.599999999999998
25,25,11.599999999999998,1,0.7000000000000001,13.4
30,30,14.699999999999998,1,0.0,15.3
40,40,19.4,1,0.8,20.6
50,50,23.1,1,0.6000000000000001,26.9
60,60,29.199999999999996,1,0.4,30.800000000000004
70,70,32.8,1,0.4,37.199999999999996
80,80,38.300000000000004,1,0.7000000000000001,41.69999999999999
90,90,42.9,1,0.9,47.099999999999994
100,100,47.699999999999996,1,0.7000000000000001,52.3
120,120,58.300000000000004,1,0.30000000000000004,61.69999999999999
140,140,67.6,1,0.7000000000000001,72.4
170,170,78.39999999999998,1,0.1,91.60000000000002
200,200,94.49999999999997,1,0.9,105.50000000000003
250,250,119.09999999999994,1,1.0,130.9
300,300,152.99999999999991,1,0.9,147.00000000000003
400,400,222.89999999999992,1,1.0,177.10000000000002
500,500,299.3999999999999,1,1.0,200.59999999999985
600,600,384.5999999999996,1,1.0,215.39999999999944
700,700,471.99999999999903,1,1.0,227.99999999999918
800,800,565.1999999999981,1,0.9,234.7999999999989
900,900,660.1999999999974,1,1.0,239.79999999999873
1000,1000,756.7999999999971,1,1.0,243.19999999999865
1200,1200,955.9999999999969,1,1.0,243.9999999999986
1400,1400,1155.799999999997,1,1.0,244.1999999999986
1700,1700,1455.3999999999971,1,1.0,244.5999999999986
2000,2000,1755.3999999999971,1,1.0,244.5999999999986
2500,2500,2255.099999999997,1,1.0,244.89999999999858
3000,3000,2754.9999999999973,1,1.0,244.99999999999858
4000,4000,3754.4999999999973,1,1.0,245.49999999999858
5000,5000,4754.499999999997,1,1.0,245.49999999999858
6000,6000,5753.499999999997,1,1.0,246.49999999999855
7000,7000,6753.499999999997,1,1.0,246.49999999999855
8000,8000,7753.499999999997,1,1.0,246.49999999999855
9000,9000,8752.999999999998,1,1.0,246.99999999999855
10000,10000,9752.399999999998,1,1.0,247.59999999999854
