steps,episode,total_return,episode_len,episode_return,total_regret
1,1,1.2915528681304513,1,1.2915528681304513,0.6
2,2,-9.769106070286679,1,-11.060658938417129,1.6
3,3,-9.734019229506238,1,0.03508684078044,1.8
4,4,0.07542533933311013,1,9.809444568839348,1.9
5,5,-1.8958054121681265,1,-1.9712307515012366,1.9
6,6,14.440925843582981,1,16.336731255751108,2.5999999999999996
7,7,17.52231867031242,1,3.0813928267294375,2.6999999999999997
8,8,-2.2873210620748665,1,-19.809639732387286,3.0999999999999996
9,9,-2.757416220112395,1,-0.47009515803752844,3.9999999999999996
10,10,13.47854682664485,1,16.235963046757245,4.8
12,12,0.14097799620845208,1,-5.040022348203426,6.1
14,14,-17.759665826540648,1,-12.85859654264452,7.199999999999999
17,17,-19.929556859288585,1,1.6541124293241671,8.5
20,20,-23.930278057316254,1,7.374994842229196,9.7
25,25,-30.106405002499425,1,5.059694734818268,11.6
30,30,-36.88232013070476,1,8.130659371342219,13.399999999999999
40,40,-41.28919674952478,1,2.249214326522766,18.299999999999997
50,50,8.446425987909343,1,-0.18967415945832977,23.5
60,60,10.207427548822151,1,0.4843100193436135,28.7
70,70,100.58308375703776,1,-4.92693140841424,32.4
80,80,114.56747200923778,1,-8.948733212127586,37.7
90,90,148.96986402624486,1,22.163430954521232,41.3
100,100,120.04679365810907,1,3.7307735043221375,46.39999999999999
120,120,171.49281771151405,1,5.987906743953306,56.49999999999997
140,140,134.3748453873097,1,-14.000381932843451,66.79999999999997
170,170,248.6142265349002,1,2.247038769761054,81.99999999999997
200,200,247.19318762197219,1,-0.5831450959396076,98.29999999999998
250,250,359.57075669652556,1,-6.4179770013824395,121.99999999999996
300,300,318.79024803164737,1,11.189503954846167,148.20000000000005
400,400,326.3979778016848,1,5.558658471007939,204.20000000000013
500,500,418.6437045478048,1,12.167105178068716,256.5000000000003
600,600,554.483467137672,1,13.203804811613375,308.0000000000007
700,700,608.2946172269346,1,8.00998593073636,358.3000000000007
800,800,576.7951675849306,1,25.207630674977793,411.50000000000097
900,900,832.1395911256047,1,8.98275177086609,464.30000000000126
1000,1000,907.0622440482383,1,6.209213379322995,515.3000000000013
1200,1200,900.9744936551356,1,8.718027821204553,616.7000000000019
1400,1400,933.0619638154174,1,-6.203006966167603,709.6000000000031
1700,1700,1111.726897030279,1,-7.802525721683716,856.2000000000032
2000,2000,1328.057703217962,1,-15.73941854168917,996.3000000000044
2500,2500,1526.5794137594787,1,3.711844631372892,1233.7000000000062
3000,3000,1605.611469932328,1,-14.817535346401211,1469.9000000000037
4000,4000,2251.949040979005,1,-7.271753882830107,1967.200000000007
5000,5000,2830.35489261253,1,14.314926998388428,2464.500000000016
6000,6000,3324.416163639697,1,2.8283430297593775,2870.7999999999934
7000,7000,3698.484419037876,1,11.856660210015656,3270.899999999968
8000,8000,4299.969768969282,1,7.815719444782613,3660.9999999999322
9000,9000,5361.952890383522,1,5.536207384325005,4008.5999999998994
10000,10000,6544.581540876189,1,-2.0694636337636556,4308.300000000003
