steps,episode,total_return,episode_len,episode_return,total_regret
1,1,1000.0,1,1000.0,0.0
2,2,1500.0,1,500.0,0.5
3,3,2400.0,1,900.0,0.6
4,4,2700.0,1,300.00000000000006,1.2999999999999998
5,5,3200.0,1,500.0,1.7999999999999998
6,6,3600.0,1,400.0,2.4
7,7,4600.0,1,1000.0,2.4
8,8,5600.0,1,1000.0,2.4
9,9,5900.0,1,300.00000000000006,3.0999999999999996
10,10,6000.0,1,100.0,3.9999999999999996
12,12,7600.0,1,900.0,4.3999999999999995
14,14,7900.0,1,0.0,6.1
17,17,8900.0,1,300.00000000000006,8.1
20,20,9200.0,1,100.0,10.8
25,25,11000.0,1,500.0,14.000000000000002
30,30,13800.0,1,900.0,16.200000000000003
40,40,18500.0,1,800.0,21.500000000000004
50,50,23800.0,1,300.00000000000006,26.200000000000003
60,60,29500.0,1,700.0000000000001,30.500000000000004
70,70,34700.0,1,900.0,35.3
80,80,39700.0,1,100.0,40.29999999999999
90,90,44100.0,1,200.0,45.899999999999984
100,100,47600.0,1,700.0000000000001,52.399999999999984
120,120,57400.0,1,0.0,62.59999999999999
140,140,66500.0,1,0.0,73.49999999999999
170,170,78900.0,1,100.0,91.10000000000001
200,200,94400.0,1,1000.0,105.6
250,250,117200.0,1,700.0000000000001,132.79999999999998
300,300,145800.0,1,1000.0,154.2
400,400,202000.0,1,1000.0,197.9999999999999
500,500,252000.0,1,0.0,247.99999999999994
600,600,300300.0,1,300.00000000000006,299.69999999999993
700,700,349600.0,1,500.0,350.39999999999986
800,800,398800.0,1,900.0,401.19999999999976
900,900,446400.0,1,600.0000000000001,453.59999999999974
1000,1000,503800.0,1,100.0,496.19999999999965
1200,1200,602400.0,1,900.0,597.5999999999999
1400,1400,708800.0,1,800.0,691.1999999999998
1700,1700,863900.0,1,800.0,836.1
2000,2000,1031800.0,1,700.0000000000001,968.2
2500,2500,1302700.0,1,200.0,1197.2999999999975
3000,3000,1604800.0,1,1000.0,1395.199999999995
4000,4000,2256600.0,1,100.0,1743.3999999999871
5000,5000,3111000.0,1,500.0,1888.9999999999784
6000,6000,4092600.0,1,1000.0,1907.3999999999749
7000,7000,5090800.0,1,1000.0,1909.1999999999741
8000,8000,6088800.0,1,1000.0,1911.199999999974
9000,9000,7087400.0,1,1000.0,1912.599999999974
10000,10000,8087200.0,1,1000.0,1912.7999999999738
