steps,episode,total_return,episode_len,episode_return,total_bad_episodes,denoised_return
10,1,-0.005,10,-0.005,1,0
20,2,-0.010000000000000002,10,-0.005,2,0
30,3,-0.013000000000000005,10,-0.003,3,0
40,4,-0.02100000000000001,10,-0.008,4,0
50,5,-0.027000000000000017,10,-0.006,5,0
60,6,-0.028000000000000018,10,-0.001,6,0
70,7,-0.03300000000000002,10,-0.005,7,0
80,8,-0.03900000000000003,10,-0.006,8,0
90,9,-0.04400000000000003,10,-0.005,9,0
100,10,-0.05000000000000004,10,-0.006,10,0
120,12,-0.059000000000000045,10,-0.002,12,0
140,14,-0.07100000000000005,10,-0.004,14,0
170,17,-0.09000000000000007,10,-0.004,17,0
200,20,-0.10800000000000008,10,-0.006,20,0
250,25,-0.1310000000000001,10,-0.004,25,0
300,30,-0.1540000000000001,10,-0.004,30,0
400,40,-0.20800000000000016,10,-0.007,40,0
500,50,-0.25500000000000017,10,-0.006,50,0
600,60,-0.3060000000000002,10,-0.005,60,0
700,70,-0.35500000000000026,10,-0.003,70,0
800,80,-0.4030000000000003,10,-0.006,80,0
900,90,-0.44500000000000034,10,-0.005,90,0
1000,100,-0.47900000000000037,10,-0.002,100,0
1200,120,-0.5380000000000004,10,-0.001,120,0
1400,140,-0.5770000000000004,10,-0.001,140,0
1700,170,-0.6080000000000004,10,0.0,170,0
2000,200,-0.6200000000000004,10,-0.001,200,0
2500,250,-0.6220000000000004,10,-0.001,250,0
3000,300,-0.6270000000000004,10,0.0,300,0
4000,400,-0.7430000000000005,10,-0.001,400,0
5000,500,-0.8420000000000006,10,0.0,500,0
6000,600,-0.9610000000000007,10,-0.001,600,0
7000,700,-0.9830000000000008,10,0.0,700,0
8000,800,-1.0169999999999988,10,-0.001,800,0
9000,900,-1.1179999999999877,10,-0.001,900,0
10000,1000,-1.2179999999999767,10,-0.001,1000,0
12000,1200,-1.4179999999999546,10,-0.001,1200,0
14000,1400,-1.6179999999999326,10,-0.001,1400,0
17000,1700,-1.9799999999998927,10,-0.002,1700,0
20000,2000,-2.579999999999827,10,-0.002,2000,0
25000,2500,-3.5799999999997167,10,-0.002,2500,0
30000,3000,-4.579999999999864,10,-0.002,3000,0
40000,4000,-7.8480000000009555,10,-0.004,4000,0
50000,5000,-11.847999999998873,10,-0.004,5000,0
60000,6000,-15.847999999996656,10,-0.004,6000,0
70000,7000,-19.38500000000071,10,-0.002,7000,0
80000,8000,-21.387000000003155,10,-0.002,8000,0
90000,9000,-23.36300000000557,10,-0.002,9000,0
100000,10000,-25.689000000008413,10,-0.003,10000,0
