steps,episode,total_return,episode_len,episode_return,total_bad_episodes,denoised_return
30,1,-0.004666666666666667,30,-0.004666666666666667,1,0
60,2,-0.009999999999999997,30,-0.005333333333333333,2,0
90,3,-0.014999999999999993,30,-0.005,3,0
120,4,-0.02000000000000001,30,-0.005,4,0
150,5,-0.025000000000000033,30,-0.005,5,0
180,6,-0.02966666666666672,30,-0.004666666666666667,6,0
210,7,-0.0356666666666667,30,-0.005999999999999999,7,0
240,8,0.2463626227141361,30,0.28202928938080274,8,0
270,9,0.9205398955417032,30,0.6741772728275671,9,0
300,10,-1.1652421222201945,30,-2.085782017761898,10,0
360,12,-1.1745754555535268,30,-0.004333333333333334,12,0
420,14,-1.1852421222201923,30,-0.005999999999999999,14,0
510,17,-1.2009087888868573,30,-0.004666666666666667,16,0
600,20,-1.2165754555535222,30,-0.0076666666666666645,19,0
750,25,-0.3894906896727768,30,-0.004666666666666667,24,0
900,30,-1.4564611829819418,30,-0.005666666666666666,29,0
1200,40,0.16670618881233498,30,-0.005,38,0
1500,50,-0.6602394882433567,30,-0.005,48,0
1800,60,-0.5836853964668238,30,-0.004333333333333334,58,0
2100,70,-0.04607769004610929,30,-0.4527847084093279,68,0
2400,80,-0.5145622093287237,30,-0.005333333333333333,77,0
2700,90,-0.565562209328718,30,-0.005666666666666666,86,0
3000,100,-0.7133359597657553,30,-0.004666666666666667,96,0
3600,120,6.939767648715776,30,2.1583718208121487,115,0
4200,140,8.174659284429886,30,-0.004333333333333334,133,0
5100,170,9.528958625339827,30,0.467744149316778,163,0
6000,200,7.419943629215277,30,-0.8586153396992215,188,0
7500,250,0.07465128345971239,30,-0.8465140725080097,235,0
9000,300,0.8529059299405168,30,-0.005,283,0
12000,400,2.4221255380928177,30,-0.005666666666666666,379,0
15000,500,3.1872680782896,30,-0.006333333333333332,475,0
18000,600,2.170872008862898,30,-0.006999999999999998,571,0
21000,700,-0.6381016008755377,30,-0.005666666666666666,671,0
24000,800,-4.911862889271809,30,-1.0247337012856308,763,0
27000,900,-6.266308817561673,30,0.6237413720143798,858,0
30000,1000,2.051714492481217,30,0.377054052439959,952,0
36000,1200,0.039085525869918404,30,-0.004666666666666667,1138,0
42000,1400,-3.8388817309105234,30,-0.004666666666666667,1327,0
51000,1700,12.044795528891004,30,-0.005333333333333333,1609,0
60000,2000,8.779065879501154,30,-0.004333333333333334,1886,0
75000,2500,-7.848022780580794,30,-0.004666666666666667,2363,0
90000,3000,-14.397376105922516,30,-0.005666666666666666,2856,0
120000,4000,-34.44447739285025,30,-0.004666666666666667,3834,0
150000,5000,-32.29281206565859,30,-0.005666666666666666,4799,0
180000,6000,-34.06178377995025,30,-0.004000000000000001,5757,0
210000,7000,-25.63543921701038,30,-0.005,6733,0
240000,8000,-15.33703666554684,30,-0.005333333333333333,7711,0
270000,9000,0.12632892242687954,30,-0.14607562292335022,8672,0
300000,10000,-18.58499460844155,30,-0.004333333333333334,9616,0
