steps,episode,total_return,episode_len,episode_return
100,1,1.0,100,1.0
200,2,2.0,100,1.0
300,3,3.0,100,1.0
400,4,4.0,100,1.0
500,5,5.0,100,1.0
600,6,6.0,100,1.0
700,7,7.1,100,1.1
800,8,8.1,100,1.0
900,9,9.2,100,1.1
1000,10,10.299999999999999,100,1.1
1200,12,12.299999999999999,100,1.0
1400,14,14.499999999999998,100,1.1
1700,17,17.5,100,1.0
2000,20,20.6,100,1.0
2500,25,25.6,100,1.0
3000,30,30.700000000000003,100,1.0
4000,40,40.900000000000006,100,1.0
5000,50,51.10000000000001,100,1.1
6000,60,61.10000000000001,100,1.0
7000,70,71.10000000000001,100,1.0
8000,80,81.10000000000001,100,1.0
9000,90,91.10000000000001,100,1.0
10000,100,101.10000000000001,100,1.0
12000,120,121.2,100,1.0
14000,140,141.2,100,1.0
17000,170,171.29999999999998,100,1.0
20000,200,201.39999999999998,100,1.0
25000,250,251.79999999999995,100,1.0
30000,300,301.9,100,1.0
40000,400,402.0,100,1.0
50000,500,502.0,100,1.0
60000,600,602.0,100,1.0
70000,700,702.0,100,1.0
80000,800,802.0,100,1.0
90000,900,902.0,100,1.0
100000,1000,1002.1,100,1.0
