steps,episode,total_return,episode_len,episode_return,total_perfect,total_regret
15,1,-1.0,15,-1.0,0,2.0
30,2,-2.0,15,-1.0,0,4.0
45,3,-1.0,15,1.0,1,4.0
60,4,-2.0,15,-1.0,1,6.0
75,5,-1.0,15,1.0,2,6.0
90,6,0.0,15,1.0,3,6.0
105,7,1.0,15,1.0,4,6.0
120,8,2.0,15,1.0,5,6.0
135,9,1.0,15,-1.0,5,8.0
150,10,0.0,15,-1.0,5,10.0
180,12,-2.0,15,-1.0,5,14.0
210,14,-4.0,15,-1.0,5,18.0
255,17,-5.0,15,-1.0,6,22.0
300,20,-6.0,15,1.0,7,26.0
375,25,-3.0,15,-1.0,11,28.0
450,30,0.0,15,1.0,15,30.0
600,40,-2.0,15,1.0,19,42.0
750,50,-2.0,15,-1.0,24,52.0
900,60,2.0,15,-1.0,31,58.0
1050,70,4.0,15,-1.0,37,66.0
1200,80,6.0,15,-1.0,43,74.0
1350,90,10.0,15,1.0,50,80.0
1500,100,12.0,15,-1.0,56,88.0
1800,120,6.0,15,-1.0,63,114.0
2100,140,4.0,15,-1.0,72,136.0
2550,170,2.0,15,1.0,86,168.0
3000,200,6.0,15,1.0,103,194.0
3750,250,12.0,15,1.0,131,238.0
4500,300,10.0,15,-1.0,155,290.0
6000,400,8.0,15,1.0,204,392.0
7500,500,0.0,15,1.0,250,500.0
9000,600,-14.0,15,1.0,293,614.0
10500,700,-8.0,15,1.0,346,708.0
12000,800,8.0,15,1.0,404,792.0
13500,900,8.0,15,-1.0,454,892.0
15000,1000,16.0,15,1.0,508,984.0
18000,1200,76.0,15,1.0,638,1124.0
21000,1400,118.0,15,1.0,759,1282.0
25500,1700,208.0,15,1.0,954,1492.0
30000,2000,488.0,15,1.0,1244,1512.0
37500,2500,734.0,15,1.0,1617,1766.0
45000,3000,1162.0,15,1.0,2081,1838.0
60000,4000,1916.0,15,1.0,2958,2084.0
75000,5000,2872.0,15,1.0,3936,2128.0
90000,6000,3822.0,15,1.0,4911,2178.0
105000,7000,4780.0,15,1.0,5890,2220.0
120000,8000,4802.0,15,1.0,6401,3198.0
135000,9000,5568.0,15,1.0,7284,3432.0
150000,10000,6406.0,15,1.0,8203,3594.0
