steps,episode,total_return,episode_len,episode_return,total_perfect,total_regret
3,1,-1.0,3,-1.0,0,2.0
6,2,0.0,3,1.0,1,2.0
9,3,-1.0,3,-1.0,1,4.0
12,4,0.0,3,1.0,2,4.0
15,5,-1.0,3,-1.0,2,6.0
18,6,-2.0,3,-1.0,2,8.0
21,7,-3.0,3,-1.0,2,10.0
24,8,-4.0,3,-1.0,2,12.0
27,9,-5.0,3,-1.0,2,14.0
30,10,-6.0,3,-1.0,2,16.0
36,12,-4.0,3,1.0,4,16.0
42,14,-6.0,3,-1.0,4,20.0
51,17,-5.0,3,1.0,6,22.0
60,20,-6.0,3,1.0,7,26.0
75,25,-5.0,3,1.0,10,30.0
90,30,-6.0,3,-1.0,12,36.0
120,40,-4.0,3,-1.0,18,44.0
150,50,2.0,3,1.0,26,48.0
180,60,-2.0,3,-1.0,29,62.0
210,70,-2.0,3,-1.0,34,72.0
240,80,-4.0,3,-1.0,38,84.0
270,90,-2.0,3,-1.0,44,92.0
300,100,4.0,3,1.0,52,96.0
360,120,8.0,3,1.0,64,112.0
420,140,12.0,3,1.0,76,128.0
510,170,20.0,3,-1.0,95,150.0
600,200,30.0,3,-1.0,115,170.0
750,250,30.0,3,1.0,140,220.0
900,300,44.0,3,-1.0,172,256.0
1200,400,106.0,3,1.0,253,294.0
1500,500,156.0,3,1.0,328,344.0
1800,600,212.0,3,1.0,406,388.0
2100,700,244.0,3,-1.0,472,456.0
2400,800,286.0,3,1.0,543,514.0
2700,900,324.0,3,1.0,612,576.0
3000,1000,362.0,3,1.0,681,638.0
3600,1200,450.0,3,1.0,825,750.0
4200,1400,526.0,3,1.0,963,874.0
5100,1700,664.0,3,-1.0,1182,1036.0
6000,2000,812.0,3,-1.0,1406,1188.0
7500,2500,1088.0,3,1.0,1794,1412.0
9000,3000,1480.0,3,1.0,2240,1520.0
12000,4000,2210.0,3,1.0,3105,1790.0
15000,5000,3008.0,3,1.0,4004,1992.0
18000,6000,3782.0,3,-1.0,4891,2218.0
21000,7000,4548.0,3,1.0,5774,2452.0
24000,8000,5326.0,3,1.0,6663,2674.0
27000,9000,6074.0,3,1.0,7537,2926.0
30000,10000,6844.0,3,1.0,8422,3156.0
