steps,episode,total_return,episode_len,episode_return,total_regret
1,1,-1.0,1,-1.0,2.0
2,2,-2.0,1,-1.0,4.0
3,3,-3.0,1,-1.0,6.0
4,4,-4.0,1,-1.0,8.0
5,5,-5.0,1,-1.0,10.0
6,6,-6.0,1,-1.0,12.0
7,7,-7.0,1,-1.0,14.0
8,8,-8.0,1,-1.0,16.0
9,9,-9.0,1,-1.0,18.0
10,10,-10.0,1,-1.0,20.0
12,12,-10.0,1,-1.0,22.0
14,14,-12.0,1,-1.0,26.0
17,17,-13.0,1,1.0,30.0
20,20,-16.0,1,-1.0,36.0
25,25,-21.0,1,-1.0,46.0
30,30,-24.0,1,-1.0,54.0
40,40,-30.0,1,-1.0,70.0
50,50,-36.0,1,1.0,86.0
60,60,-44.0,1,-1.0,104.0
70,70,-54.0,1,-1.0,124.0
80,80,-62.0,1,-1.0,142.0
90,90,-70.0,1,-1.0,160.0
100,100,-78.0,1,-1.0,178.0
120,120,-92.0,1,-1.0,212.0
140,140,-104.0,1,-1.0,244.0
170,170,-128.0,1,-1.0,298.0
200,200,-152.0,1,-1.0,352.0
250,250,-194.0,1,-1.0,444.0
300,300,-238.0,1,-1.0,538.0
400,400,-314.0,1,-1.0,714.0
500,500,-402.0,1,-1.0,902.0
600,600,-466.0,1,-1.0,1066.0
700,700,-546.0,1,-1.0,1246.0
800,800,-630.0,1,1.0,1430.0
900,900,-714.0,1,-1.0,1614.0
1000,1000,-800.0,1,-1.0,1800.0
1200,1200,-962.0,1,-1.0,2162.0
1400,1400,-1124.0,1,-1.0,2524.0
1700,1700,-1362.0,1,1.0,3062.0
2000,2000,-1590.0,1,-1.0,3590.0
2500,2500,-1954.0,1,-1.0,4454.0
3000,3000,-2292.0,1,-1.0,5292.0
4000,4000,-2998.0,1,-1.0,6998.0
5000,5000,-3654.0,1,-1.0,8654.0
6000,6000,-4366.0,1,-1.0,10366.0
7000,7000,-5072.0,1,-1.0,12072.0
8000,8000,-5734.0,1,1.0,13734.0
9000,9000,-6384.0,1,-1.0,15384.0
10000,10000,-7028.0,1,-1.0,17028.0
