steps,episode,total_return,episode_len,episode_return,total_regret
1,1,-1.9237465397653664,1,-1.9237465397653664,2.0
2,2,-1.5936805477682654,1,0.33006599199710096,4.0
3,3,-3.4784735963006845,1,-1.8847930485324191,6.0
4,4,-6.193447931580483,1,-2.7149743352797984,8.0
5,5,-8.45165798145364,1,-2.258210049873156,8.0
6,6,-8.596558644495179,1,-0.14490066304154048,10.0
7,7,-8.980946652764535,1,-0.3843880082693567,12.0
8,8,-10.463034978276536,1,-1.4820883255119996,14.0
9,9,-11.968768732651004,1,-1.505733754374468,16.0
10,10,-11.79820103212872,1,0.17056770052228365,18.0
12,12,-14.829562711559344,1,-0.9354827885197956,22.0
14,14,-16.085184671719936,1,-0.9596710529867395,26.0
17,17,-18.61291097333215,1,0.897797562903706,32.0
20,20,-25.81949824517281,1,-2.5581688767326103,38.0
25,25,-31.55948843013873,1,-1.4291738739141244,46.0
30,30,-34.20646748258351,1,0.5500769528397682,54.0
40,40,-48.13128971467419,1,-1.367564059942454,72.0
50,50,-59.08186574635853,1,-1.4112829504916147,90.0
60,60,-70.47331307398811,1,-1.0706805989732033,108.0
70,70,-81.99672900365148,1,-0.7298626504980971,128.0
80,80,-97.16320709507785,1,-3.3755666435624736,146.0
90,90,-99.34627403346502,1,1.6273439096314968,164.0
100,100,-108.51895574322621,1,-0.09770027146510807,182.0
120,120,-125.54099534773378,1,-3.129563605363377,218.0
140,140,-144.80463567971267,1,-1.6187980849147645,254.0
170,170,-160.84115359815996,1,-1.1939456676778533,304.0
200,200,-182.05974780010462,1,-1.4223390566310434,356.0
250,250,-234.3972714810752,1,-1.3140569117228154,452.0
300,300,-267.56236827465193,1,-0.6095194356615161,542.0
400,400,-351.00795608415797,1,-1.3869413758560618,718.0
500,500,-419.4005720033422,1,0.5845920740498847,888.0
600,600,-510.5759302000228,1,-0.6461241413481453,1070.0
700,700,-585.1319458105306,1,-1.2148672006771317,1242.0
800,800,-670.3717515762676,1,-1.042747702005645,1422.0
900,900,-734.7364220575247,1,-1.8412248583991233,1602.0
1000,1000,-813.2069027167115,1,-1.2356719576580344,1784.0
1200,1200,-990.3031656027754,1,-0.602192451491544,2140.0
1400,1400,-1135.9784423614947,1,-0.5903381216541262,2500.0
1700,1700,-1353.9400099478385,1,1.1125441919529697,3048.0
2000,2000,-1590.266681672726,1,2.0912922364576563,3578.0
2500,2500,-1948.6502027815318,1,-1.0271056100941454,4464.0
3000,3000,-2327.4292250572953,1,-0.8716509915915797,5364.0
4000,4000,-3103.822601584279,1,-1.8665169068544896,7152.0
5000,5000,-3826.308047957423,1,-0.36316881269245993,8902.0
6000,6000,-4619.509303213122,1,-1.9773428843346075,10678.0
7000,7000,-5317.587838243033,1,-0.5199536917934771,12400.0
8000,8000,-6015.968213815082,1,-1.7320184357013901,14146.0
9000,9000,-6745.558370698415,1,1.613588054160786,15858.0
10000,10000,-7526.796308580878,1,-0.2742472676038199,17610.0
