steps,episode,total_return,episode_len,episode_return,total_regret
1,1,-1.0,1,-1.0,2.0
2,2,-2.0,1,-1.0,4.0
3,3,-3.0,1,-1.0,6.0
4,4,-4.0,1,-1.0,8.0
5,5,-5.0,1,-1.0,10.0
6,6,-6.0,1,-1.0,12.0
7,7,-7.0,1,-1.0,14.0
8,8,-8.0,1,-1.0,16.0
9,9,-9.0,1,-1.0,18.0
10,10,-10.0,1,-1.0,20.0
12,12,-12.0,1,-1.0,24.0
14,14,-12.0,1,1.0,26.0
17,17,-15.0,1,-1.0,32.0
20,20,-18.0,1,-1.0,38.0
25,25,-23.0,1,-1.0,48.0
30,30,-26.0,1,1.0,56.0
40,40,-34.0,1,-1.0,74.0
50,50,-42.0,1,-1.0,92.0
60,60,-50.0,1,-1.0,110.0
70,70,-56.0,1,-1.0,126.0
80,80,-64.0,1,-1.0,144.0
90,90,-74.0,1,-1.0,164.0
100,100,-82.0,1,1.0,182.0
120,120,-100.0,1,-1.0,220.0
140,140,-114.0,1,-1.0,254.0
170,170,-140.0,1,-1.0,310.0
200,200,-158.0,1,-1.0,358.0
250,250,-196.0,1,-1.0,446.0
300,300,-236.0,1,-1.0,536.0
400,400,-316.0,1,-1.0,716.0
500,500,-392.0,1,-1.0,892.0
600,600,-470.0,1,-1.0,1070.0
700,700,-548.0,1,-1.0,1248.0
800,800,-618.0,1,1.0,1418.0
900,900,-702.0,1,-1.0,1602.0
1000,1000,-792.0,1,-1.0,1792.0
1200,1200,-950.0,1,-1.0,2150.0
1400,1400,-1094.0,1,1.0,2494.0
1700,1700,-1326.0,1,-1.0,3026.0
2000,2000,-1538.0,1,-1.0,3538.0
2500,2500,-1892.0,1,-1.0,4392.0
3000,3000,-2274.0,1,-1.0,5274.0
4000,4000,-3028.0,1,-1.0,7028.0
5000,5000,-3706.0,1,1.0,8706.0
6000,6000,-4416.0,1,-1.0,10416.0
7000,7000,-5080.0,1,1.0,12080.0
8000,8000,-5712.0,1,-1.0,13712.0
9000,9000,-6338.0,1,-1.0,15338.0
10000,10000,-6968.0,1,-1.0,16968.0
