steps,episode,total_return,episode_len,episode_return,total_regret
20,1,-4.0,20,-4.0,2.0
40,2,-6.0,20,-2.0,4.0
60,3,0.0,20,6.0,4.0
80,4,4.0,20,4.0,4.0
100,5,4.0,20,0.0,4.0
120,6,4.0,20,0.0,4.0
140,7,2.0,20,-2.0,6.0
160,8,-2.0,20,-4.0,8.0
180,9,2.0,20,4.0,10.0
200,10,-4.0,20,-6.0,10.0
240,12,4.0,20,2.0,10.0
280,14,8.0,20,2.0,12.0
340,17,2.0,20,-2.0,16.0
400,20,0.0,20,-2.0,20.0
500,25,-4.0,20,-2.0,24.0
600,30,-10.0,20,0.0,30.0
800,40,14.0,20,6.0,38.0
1000,50,12.0,20,2.0,52.0
1200,60,18.0,20,6.0,60.0
1400,70,32.0,20,6.0,72.0
1600,80,16.0,20,-2.0,86.0
1800,90,6.0,20,0.0,100.0
2000,100,-6.0,20,2.0,112.0
2400,120,-30.0,20,-4.0,126.0
2800,140,-6.0,20,2.0,140.0
3400,170,-26.0,20,2.0,174.0
4000,200,-22.0,20,2.0,194.0
5000,250,-12.0,20,8.0,228.0
6000,300,-70.0,20,-2.0,282.0
8000,400,-152.0,20,-2.0,390.0
10000,500,-114.0,20,4.0,496.0
12000,600,-50.0,20,-4.0,608.0
14000,700,-22.0,20,6.0,694.0
16000,800,-46.0,20,-8.0,808.0
18000,900,-208.0,20,0.0,920.0
20000,1000,-194.0,20,-4.0,1026.0
24000,1200,-120.0,20,2.0,1264.0
28000,1400,-148.0,20,4.0,1476.0
34000,1700,-150.0,20,2.0,1802.0
40000,2000,-216.0,20,0.0,2112.0
50000,2500,-130.0,20,4.0,2634.0
60000,3000,-48.0,20,0.0,3154.0
80000,4000,124.0,20,10.0,4146.0
100000,5000,262.0,20,-12.0,5168.0
120000,6000,348.0,20,-2.0,6182.0
140000,7000,298.0,20,0.0,7188.0
160000,8000,212.0,20,-2.0,8174.0
180000,9000,306.0,20,2.0,9132.0
200000,10000,292.0,20,0.0,10116.0
