steps,episode,total_return,episode_len,episode_return,total_regret
1,1,1.0,1,1.0,0.0
2,2,0.0,1,-1.0,2.0
3,3,-1.0,1,-1.0,4.0
4,4,-2.0,1,-1.0,6.0
5,5,-1.0,1,1.0,6.0
6,6,0.0,1,1.0,6.0
7,7,1.0,1,1.0,6.0
8,8,2.0,1,1.0,6.0
9,9,1.0,1,-1.0,8.0
10,10,0.0,1,-1.0,10.0
12,12,2.0,1,1.0,10.0
14,14,2.0,1,-1.0,12.0
17,17,1.0,1,1.0,16.0
20,20,4.0,1,1.0,16.0
25,25,1.0,1,1.0,24.0
30,30,4.0,1,1.0,26.0
40,40,8.0,1,1.0,32.0
50,50,8.0,1,-1.0,42.0
60,60,10.0,1,1.0,50.0
70,70,10.0,1,-1.0,60.0
80,80,10.0,1,1.0,70.0
90,90,12.0,1,1.0,78.0
100,100,16.0,1,1.0,84.0
120,120,22.0,1,1.0,98.0
140,140,26.0,1,-1.0,114.0
170,170,36.0,1,-1.0,134.0
200,200,46.0,1,1.0,154.0
250,250,58.0,1,-1.0,192.0
300,300,76.0,1,1.0,224.0
400,400,112.0,1,1.0,288.0
500,500,192.0,1,1.0,308.0
600,600,270.0,1,1.0,330.0
700,700,364.0,1,1.0,336.0
800,800,454.0,1,1.0,346.0
900,900,540.0,1,1.0,360.0
1000,1000,638.0,1,1.0,362.0
1200,1200,812.0,1,1.0,388.0
1400,1400,984.0,1,1.0,416.0
1700,1700,1238.0,1,1.0,462.0
2000,2000,1520.0,1,1.0,480.0
2500,2500,1978.0,1,1.0,522.0
3000,3000,2460.0,1,1.0,540.0
4000,4000,3382.0,1,1.0,618.0
5000,5000,4370.0,1,1.0,630.0
6000,6000,5338.0,1,1.0,662.0
7000,7000,6338.0,1,1.0,662.0
8000,8000,7334.0,1,1.0,666.0
9000,9000,8330.0,1,1.0,670.0
10000,10000,9330.0,1,1.0,670.0
